127.0.0.1 - - [05/Aug/2024:11:40:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:01:56 +0530] "GET /AlumnieventmanagementApplication/Viewalumni.jsp HTTP/1.1" 200 8366
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:02:01 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:02:55 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:02:55 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:02:57 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:02:57 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:02:59 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:03:01 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:03:01 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:03:03 +0530] "GET /AlumnieventmanagementApplication/updateevent.jsp HTTP/1.1" 200 6700
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:03:03 +0530] "GET /AlumnieventmanagementApplication/JS/updateevent.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:04:44 +0530] "GET /AlumnieventmanagementApplication/updateevent.jsp HTTP/1.1" 200 6699
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:06:08 +0530] "GET /AlumnieventmanagementApplication/updateevent.jsp HTTP/1.1" 200 6614
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:06:08 +0530] "GET /AlumnieventmanagementApplication/JS/updateevent.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:06:32 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:06:32 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:06:33 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:06:38 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:06:38 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:06:43 +0530] "GET /AlumnieventmanagementApplication/updateevent.jsp HTTP/1.1" 200 6614
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:06:52 +0530] "GET /AlumnieventmanagementApplication/updateevent.jsp HTTP/1.1" 200 6614
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:10:07 +0530] "GET /AlumnieventmanagementApplication/updateevent.jsp HTTP/1.1" 500 2626
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:11:00 +0530] "GET /AlumnieventmanagementApplication/updateevent.jsp HTTP/1.1" 200 10388
0:0:0:0:0:0:0:1 - - [05/Aug/2024:13:11:00 +0530] "GET /AlumnieventmanagementApplication/JS/updateevent.js HTTP/1.1" 304 -
